CCEN;NOM;NOME;DGENRC;DGENRE;GENR;MUNI;DMUNIC;DMUNIE;DTERRC;DTERRE;DEPE;DTITUC;DTITUE;DOMI;CPOS;TEL1;TFAX;EMAIL;PAGINA;COOR_X;COOR_Y
012137;JUAN ZARAGUETA HERRI ESKOLA;JUAN ZARAGUETA HERRI ESKOLA;CPI;IPI;11T0;061;ORIO;ORIO;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ABAROMENDI 11;20810;943894052;943894163;012137aa@hezkuntza.net; ;571031.079822172;4792835.582178161
012138;DANBOLIN;DANBOLIN;EMPU;MEPU;12D0;061;ORIO;ORIO;GIPUZKOA;GIPUZKOA;14;OTROS PÚBLICOS;BESTE PUBLIKOAK;ITURBIDE 18;20810;943833727;943130260;danbolinme@gmail.com; ;570828.495919506;4791954.981421897
012139;SAN ANDRÉS;SAN ANDRÉS;CEIP;HLHI;11S0;062;ORMAIZTEGI;ORMAIZTEGI;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;GABIRIALDE Z/G;20216;943883551;943881041;012139aa@hezkuntza.net; ;560242.357324573;4765800.415108231
012140;ELIZALDE;ELIZALDE;CEIP;HLHI;11S0;063;OIARTZUN;OIARTZUN;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;MANUEL LEKUONA ETORB. 5;20180;943490193;943494430;012140aa@hezkuntza.net; ;592342.217029984;4794567.76959642
012150;KARMENGO AMA-VIRGEN DEL CARMEN;KARMENGO AMA-VIRGEN DEL CARMEN;CPI;IPI;11T0;064;PASAIA;PASAIA;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ULIA ETORB. Z/G;20110;943390371;943392659;012150aa@hezkuntza.net;http://www.karmengoamaeskola.hezkuntza.net;586353.532430625;4797286.086290919
012151;NAUTICO PESQUERO DE PASAIA BLAS DE LEZO;NAUTICO PESQUERO DE PASAIA BLAS DE LEZO;IES;BHI;11D0;064;PASAIA;PASAIA;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;LOS MARINOS 2;20110;943404005;943404177;012151aa@hezkuntza.net; ;586873.193784006;4797278.687796861
012153;SAN MARTÍN;SAN MARTÍN;CEIP;HLHI;11S0;066;ERREZIL;ERREZIL;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ERREZIL Z/G;20737;943157096;943157311;012153aa@hezkuntza.net; ;567152.729415967;4779471.362426441
012159;CRISTÓBAL GAMÓN;CRISTÓBAL GAMÓN;CEIP;HLHI;11S0;067;ERRENTERIA;ERRENTERIA;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;SORGINTXULO 6;20100;943512298;943525936;012159aa@hezkuntza.net; ;588556.11288392;4796634.978821961
012168;OARSOALDEA;OARSOALDEA;CEPA;HHI;11J1;067;ERRENTERIA;ERRENTERIA;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;MIGUEL ZABALETA 14;20100;943526486;943526486;012168aa@hezkuntza.net; ;589775.03007945;4795492.911286505
012170;ERRENTERIA MUSIKAL;ERRENTERIA MUSIKAL;EMPU;MEPU;12D0;067;ERRENTERIA;ERRENTERIA;GIPUZKOA;GIPUZKOA;14;OTROS PÚBLICOS;BESTE PUBLIKOAK;ALFONSO XI 6 (NIESSEN ERAIK);20100;943449633;943449663;musikal@errenteria.eus; ;589073.110829593;4796266.893744614
012173;KOLDO MITXELENA;KOLDO MITXELENA;IES;BHI;11D0;067;ERRENTERIA;ERRENTERIA;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;GALTZARABORDA 43;20100;943513741;943519868;012173aa@hezkuntza.net;http://www.koldomitxelena.com;588440.440180135;4795905.607283428
012184;AMARA-BERRI;AMARA-BERRI;CEIP;HLHI;11S0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;FERRERIAS PL.;20011;943458550;943265972;012184aa@hezkuntza.net;http://www.amaraberri.org;583022.673102301;4794908.830174526
012185;MENDIOLA;MENDIOLA;CEIP;HLHI;11S0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;P. DE SERAPIO MÚGICA 16;20016;943395092;943395092;012185aa@hezkuntza.net; ;585530.671382477;4797237.626154839
012186;KATALIN ERAUSO;KATALIN ERAUSO;CEIP;HLHI;11S0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;JOSÉ M. SALABERRIA 14;20010;943464359;943469825;012186aa@hezkuntza.net;http://www.katalinerausolhi.hezkuntza.net;582673.700725848;4795066.957988069
012188;HERRERA;HERRERA;CEIP;HLHI;11S0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;EDERRENA 21;20017;943391577;943395249;012188aa@hezkuntza.net; ;586067.047062247;4796597.996349637
012201;ALTZA - S. J. C.;ALTZA - S. J. C.;CEIP;HLHI;11S0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;TXAPINENE 21-23;20017;943352024;943357462;012201aa@hezkuntza.net; ;586470.31832339;4796320.602812288
012202;ZUHAIZTI;ZUHAIZTI;CEIP;HLHI;11S0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ALDAKONEA 1;20012;943320413;943291255;012202aa@hezkuntza.net;http://www.zuhaizti.net;583245.426340114;4796947.705167418
012211;IGNACIO ZULOAGA;IGNACIO ZULOAGA;CEPA;HHI;11J1;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ATARIZAR K. 22 - 2;20013;943270010;943326853;012211aa@hezkuntza.net; ;584176.060573211;4797012.032073862
012214;IGELDO;IGELDO;CEIP;HLHI;11S0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;LIZARDIA PL. 2;20008;943217225;943210193;012214aa@hezkuntza.net; ;578227.830085968;4795539.651772615
012219;ZUBIETA;ZUBIETA;CEIP;HLHI;11S0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;P. DE LEARRITZA 52;20160;943372931;943372931;012219aa@hezkuntza.net; ;578413.369828473;4791397.254945508
012224;ALTZA;ALTZA;IES;BHI;11D0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;P. DE ALTZA 43;20017;943351044;943351593;012224aa@hezkuntza.net; ;586556.841967588;4796248.507487083
012225;BIDEBIETA;BIDEBIETA;IES;BHI;11D0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;P. DE SERAPIO MÚGICA 31;20016;943390240;943397787;012225aa@hezkuntza.net;http://www.bidebieta.com;585478.39272964;4797296.034266037
012229;POLITÉCNICO EASO POLITEKNIKOA;POLITÉCNICO EASO POLITEKNIKOA;CIFP;LHII;11U0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;AITZOL PARKEA 2;20011;943455422;943470022;012229aa@hezkuntza.net;http://www.ieaso.net;582976.686028662;4795354.089543269
012242;LAIOTZ;LAIOTZ;CEIP;HLHI;11S0;070;SEGURA;SEGURA;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;GAIN ARGI Z/G;20214;943801776;943801776;012242aa@hezkuntza.net; ;560704.578126588;4761602.369608252
012243;EDUARDO MOCOROA;EDUARDO MOCOROA;EMPU;MEPU;12D0;071;TOLOSA;TOLOSA;GIPUZKOA;GIPUZKOA;14;OTROS PÚBLICOS;BESTE PUBLIKOAK;RONDILLA 34;20400;943651593;943654346;musika@tolosa.eus; ;575342.064941057;4776710.154462337
012244;FÉLIX SAMANIEGO;FÉLIX SAMANIEGO;CEIP;HLHI;11S0;071;TOLOSA;TOLOSA;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;SANTA LUTZIA 14;20400;943651063;943652943;012244aa@hezkuntza.net; ;575779.06170537;4777691.284756103
012261;AGINAGA;AGINAGA;CEIP;HLHI;11S0;073;USURBIL;USURBIL;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;AGINAGA Z/G;20170;943372044;943372044;012261aa@hezkuntza.net; ;575142.292871296;4791436.127033208
012265;SAN MARTIN AGIRRE;SAN MARTIN AGIRRE;CEIP;HLHI;11S0;074;BERGARA;BERGARA;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;BONI LASKURAIN 25;20570;943762147;943769981;012265aa@hezkuntza.net; ;546977.52322669;4774463.981664314
012266;BERGARA;BERGARA;CEPA;HHI;11J1;074;BERGARA;BERGARA;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;BARRENKALEA 33;20570;943764452;943764452;012266aa@hezkuntza.net; ;547797.506475178;4774191.777070772
012273;ANGIOZAR;ANGIOZAR;CEIP;HLHI;11S0;074;BERGARA;BERGARA;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ANGIOZAR AUZ. 2;20578;943761619;943761619;012273aa@hezkuntza.net; ;543024.638633894;4773648.497653726
012277;DOCTOR FLEMING;DOCTOR FLEMING;CEIP;HLHI;11S0;075;VILLABONA;VILLABONA;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;OTELARRE 35;20150;943691413;943696886;012277aa@hezkuntza.net; ;577361.348521495;4782459.254249701
012279;FRAY A. URDANETA;FRAY A. URDANETA;CEIP;HLHI;11S0;076;ORDIZIA;ORDIZIA;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;INTXAUSTI Z/G;20240;943882780;943805310;012279aa@hezkuntza.net;http://urdaneta.ikastetxea.net;567428.767299622;4767516.305843636
012282;OIANGUREN;OIANGUREN;IES;BHI;11D0;076;ORDIZIA;ORDIZIA;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;GERNIKAKO ARBOLA 1;20240;943880862;943164121;012282aa@hezkuntza.net; ;567581.851398978;4767049.580844158
012283;ORDIZIA;ORDIZIA;EMPR;MEPR;32D0;076;ORDIZIA;ORDIZIA;GIPUZKOA;GIPUZKOA;31;PRIVADA;PRIBATUA;NIKOLAS LEKUONA Z/G;20240;943888752;943805625;info@musikaeskola.eus; ;566925.490438857;4767141.452144021
012284;GAIN-ZURI;GAIN-ZURI;CEIP;HLHI;11S0;077;URRETXU;URRETXU;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;LABEAGA 18;20700;943721214;943721214;012284aa@hezkuntza.net; ;555605.949960544;4771243.217241597
012285;ZUMARRAGA-URRETXU;ZUMARRAGA-URRETXU;CEPA;HHI;11J1;080;ZUMARRAGA;ZUMARRAGA;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;LEGAZPI 7;20700;943724067;943724067;012285aa@hezkuntza.net; ;555711.158687917;4770990.73863289
012286;J.M. IPARRAGIRRE;J.M. IPARRAGIRRE;IES;BHI;11D0;077;URRETXU;URRETXU;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;NEKOLALDE 16;20700;943721403;943721403;012286aa@hezkuntza.net;http://www.jmiparragirre.eus;555252.079552579;4771337.198112063
012287;LARDIZABAL;LARDIZABAL;CEIP;HLHI;11S0;078;ZALDIBIA;ZALDIBIA;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;SANTA FE Z/G;20247;943884251;943884251;012287aa@hezkuntza.net; ;569090.79143009;4765320.61277061
012288;OROKIETA;OROKIETA;CEIP;HLHI;11S0;079;ZARAUTZ;ZARAUTZ;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ARABA 56;20800;943833367;943894317;012288aa@hezkuntza.net;http://www.orokieta.net/;567950.440639012;4792347.421541845
012291;MONTE ALBERTIA;MONTE ALBERTIA;CIFP;LHII;11U0;079;ZARAUTZ;ZARAUTZ;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;SAN INAZIO 25;20800;943134223;943894196;012291aa@hezkuntza.net; ;566594.403298682;4792568.206601686
012292;LIZARDI;LIZARDI;IES;BHI;11D0;079;ZARAUTZ;ZARAUTZ;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ARABA 18;20800;943834350;943830560;012292aa@hezkuntza.net; ;567278.239411998;4792325.755951814
012298;ZUMAIA;ZUMAIA;IES;BHI;11D0;081;ZUMAIA;ZUMAIA;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;AITA MARI 45;20750;943860809;943860810;012298aa@hezkuntza.net; ;560348.481340663;4793476.061810384
012299;OIKIA;OIKIA;CEIP;HLHI;11S0;081;ZUMAIA;ZUMAIA;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;OIKIA 27;20759;943862046;943862046;012299aa@hezkuntza.net; ;562253.675419421;4792453.95985628
012309;AITA LARRAMENDI IKASTOLA;AITA LARRAMENDI IKASTOLA;CPEIPS;HLBHIP;31H0;009;ANDOAIN;ANDOAIN;GIPUZKOA;GIPUZKOA;32;PRIVADA;PRIBATUA;TXISTOKI Z/G;20140;943593525;943590390;andoain@ikastola.eus; ;579253.992425234;4785469.281567346
012310;ANOETA IKASTOLA;ANOETA IKASTOLA;CPEIPS;HLBHIP;31H0;010;ANOETA;ANOETA;GIPUZKOA;GIPUZKOA;32;PRIVADA;PRIBATUA;ERGOIEN BAILARA 5;20270;943652932;943653627;anoeta@ikastola.net; ;575614.647815951;4778792.040700414
012319;AZKOITIKO IKASTOLA-XABIER MUNIBE;AZKOITIKO IKASTOLA-XABIER MUNIBE;CEIP;HLHI;11S0;017;AZKOITIA;AZKOITIA;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ESTRADA 115;20720;943850646;943850370;012319aa@hezkuntza.net; ;555971.339812991;4781022.896616144
012320;AZPEITIKO IKASTOLA-KARMELO ETXEGARAI;AZPEITIKO IKASTOLA-KARMELO ETXEGARAI;CEIP;HLHI;11S0;018;AZPEITIA;AZPEITIA;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;EUSKAL HERRIA 50;20730;943812697;943150830;012320aa@hezkuntza.net; ;559547.537746655;4780882.805131361
012327;J.A. MOGEL IKASTOLA;J.A. MOGEL IKASTOLA;CEIP;HLHI;11S0;030;EIBAR;EIBAR;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;MANDIOLA BALLE 29;20600;943208487;943208487;012327aa@hezkuntza.net; ;542694.978024782;4782480.499925206
012328;ELGOIBAR IKASTOLA;ELGOIBAR IKASTOLA;CPEIPS;HLBHIP;31H0;032;ELGOIBAR;ELGOIBAR;GIPUZKOA;GIPUZKOA;32;PRIVADA;PRIBATUA;ERMUARAN BIDE 7;20870;943744441;943748436;elgoibar@elgoibarikastola.eus; ;547936.951948069;4784912.324934258
012330;JOSÉ ARANA IKASTOLA;JOSE ARANA IKASTOLA;CPEI;HHIP;31B0;034;ESKORIATZA;ESKORIATZA;GIPUZKOA;GIPUZKOA;32;PRIVADA;PRIBATUA;ARANBURUZABALA 1;20540;943772025;943713013;arizmendi@arizmendi.eus; ;538475.546515116;4762751.495706957
012331;ALMEN IKASTOLA;ALMEN IKASTOLA;CPEPS;LBHIP;31F0;034;ESKORIATZA;ESKORIATZA;GIPUZKOA;GIPUZKOA;32;PRIVADA;PRIBATUA;TORREBASO Z/G;20540;943772025;943714108;arizmendi@arizmendi.eus; ;539875.278584371;4763630.066876337
012334;LANGILE IKASTOLA;LANGILE IKASTOLA;CEIP;HLHI;11S0;040;HERNANI;HERNANI;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;KAROBIETA Z/G;20120;943555423;943331936;012334aa@hezkuntza.net;http://www.langile.com;582755.458272043;4790974.880918521
012336;UZTURPE IKASTOLA;UZTURPE IKASTOLA;CPEIPS;HLBHIP;31H0;042;IBARRA;IBARRA;GIPUZKOA;GIPUZKOA;32;PRIVADA;PRIBATUA;EGIALDE 2;20400;943671299;943675632;ibarra@ikastola.eus; ;576476.280823978;4775676.684822094
012338;TXINGUDI-IRUNGO IKASTOLA;TXINGUDI-IRUNGO IKASTOLA;CEIP;HLHI;11S0;045;IRUN;IRUN;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;JAIZUBIA Z/G 351 P.K.;20305;943667055;943619185;012338aa@hezkuntza.net; ;595728.529661198;4799355.155137938
012339;IRURA IKASTOLA;IRURA IKASTOLA;CPEIP;HLHIP;31E0;046;IRURA;IRURA;GIPUZKOA;GIPUZKOA;32;PRIVADA;PRIBATUA;ZILAR 4;20270;943694374;943696241;irura@ikastola.net; ;576063.106303836;4779896.145962981
012341;SAN BENITO IKASTOLA;SAN BENITO IKASTOLA;CPEIPS;HLBHIP;31H0;049;LAZKAO;LAZKAO;GIPUZKOA;GIPUZKOA;32;PRIVADA;PRIBATUA;EUSKADI Z/G 61 P.K.;20210;943880800;943881816;lazkao@ikastola.eus;http://mipagina.euskaltel.es/lazkao/Default.htm;566191.140283384;4764846.699234339
012342;HAZTEGI IKASTOLA;HAZTEGI IKASTOLA;CPEIPS;HLBHIP;31H0;051;LEGAZPI;LEGAZPI;GIPUZKOA;GIPUZKOA;32;PRIVADA;PRIBATUA;SANTIKUTZ 5;20230;943731097;943731537;legazpi@ikastola.net; ;554243.851924657;4767021.966464985
012345;SAN FRANTZISKO XABIER;SAN FRANTZISKO XABIER;CPEIPS;HLBHIP;31H0;055;ARRASATE/MONDRAGÓN;ARRASATE/MONDRAGÓN;GIPUZKOA;GIPUZKOA;32;PRIVADA;PRIBATUA;OTALORA LIZENTZIATUA 8;20500;943772025;943797922;arizmendi@arizmendi.eus; ;541736.736704983;4768376.080838921
012346;GAZTELUPE-ARIMAZUBI IKASTOLA;GAZTELUPE-ARIMAZUBI IKASTOLA;CPEIPS;HLBHIP;31H0;055;ARRASATE/MONDRAGÓN;ARRASATE/MONDRAGÓN;GIPUZKOA;GIPUZKOA;32;PRIVADA;PRIBATUA;ARRASATE 10-18;20500;943772025;943797922;arizmendi@arizmendi.eus; ;541378.652670582;4768046.088008007
012347;UME-ZAINTZA IKASTOLA;UME-ZAINTZA IKASTOLA;CPEI;HHIP;31B0;055;ARRASATE/MONDRAGÓN;ARRASATE/MONDRAGÓN;GIPUZKOA;GIPUZKOA;32;PRIVADA;PRIBATUA;SAN ANDRÉS 8 257 P.K.;20500;943772025;943790102;arizmendi@arizmendi.eus; ;541386.840793968;4767448.199706442
012348;GOIZEKO IZARRA IKASTOLA;GOIZEKO IZARRA IKASTOLA;CEIP;HLHI;11S0;056;MUTRIKU;MUTRIKU;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;HIRIGIBEL 3;20830;943603675;943604181;012348aa@hezkuntza.net; ;549473.457836662;4794970.227677242
012349;TXANTXIKU IKASTOLA;TXANTXIKU IKASTOLA;CPEIPS;HLBHIP;31H0;059;OÑATI;OÑATI;GIPUZKOA;GIPUZKOA;32;PRIVADA;PRIBATUA;SAN JUAN 1;20560;943781204;943783188;txantxiku@ikastola.net; ;547636.366185945;4764624.564449232
012350;ORIO IKASTOLA;ORIO IKASTOLA;CPEIPS;HLBHIP;31H0;061;ORIO;ORIO;GIPUZKOA;GIPUZKOA;32;PRIVADA;PRIBATUA;ABESLARI 8;20810;943834704;943130938;orio@ikastola.eus; ;570596.886644919;4791932.665964144
012352;HAURTZARO IKASTOLA;HAURTZARO IKASTOLA;CPEIPS;HLBHIP;31H0;063;OIARTZUN;OIARTZUN;GIPUZKOA;GIPUZKOA;32;PRIVADA;PRIBATUA;ELORRONDO Z/G;20180;943491659;943490912;haurtzaro@ikastola.eus; ;592196.240848411;4794450.143538864
012353;PASAIA-LEZO LIZEOA;PASAIA-LEZO LIZEOA;CPEIPS;HLBHIP;31H0;064;PASAIA;PASAIA;GIPUZKOA;GIPUZKOA;32;PRIVADA;PRIBATUA;LARRABIDE 5;20110;943526850;943526854;lizeoa@ikastola.eus; ;588030.407326669;4797542.374124271
012357;ORERETA;ORERETA;CPEIPS;HLBHIP;31H0;067;ERRENTERIA;ERRENTERIA;GIPUZKOA;GIPUZKOA;31;PRIVADA;PRIBATUA;ZAMALBIDE AUZOA, 14;20100;943520397;943525462;idazkaritza@oreretaikastola.eus; ;589445.476666315;4793696.077026922
012358;AITOR IKASTOLA;AITOR IKASTOLA;CEIP;HLHI;11S0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;KONKORRENEA 7;20012;943282132;943275625;012358aa@hezkuntza.net; ;583202.523212242;4796540.997951496
012359;AMASSORRAIN IKASTOLA;AMASSORRAIN IKASTOLA;CEIP;HLHI;11S0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;AÑORGA 27;20018;943370872;943370860;012359aa@hezkuntza.net; ;581404.887926482;4793505.145890403
012361;AXULAR LIZEOA;AXULAR LIZEOA;CPEIPS;HLBHIP;31H0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;32;PRIVADA;PRIBATUA;AROSTEGI 10;20009;943316066;943316184;axular@ikastola.net;http://www.axular.net;582066.303589156;4794448.833805457
012362;J.M. BARANDIARAN LIZEOA;J.M. BARANDIARAN LIZEOA;CPES;BHIP;31D0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;31;PRIVADA;PRIBATUA;MANUEL LARDIZABAL 26 (IBAETA);20018;943272587;943219974;zurriola@ikastola.net; ;580038.312397142;4794979.705748009
012363;EKINTZA;EKINTZA;CPEIPS;HLBHIP;31H0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;31;PRIVADA;PRIBATUA;TONTORGOXO 18;20018;943210307;943219683;ikastola@ekintza.org;http://www.ekintza.org;579990.18964983;4796089.069940135
012364;HERRI-AMETSA IKASTOLA;HERRI-AMETSA IKASTOLA;CPEIPS;HLBHIP;31H0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;31;PRIVADA;PRIBATUA;GUARDAPLATA 28 102 PK PASAIA;20016;943392421;943404090;herriam@ikastola.eus;http://www.herriametsa.com;585662.530678616;4797841.243290317
012366;IKAS-BIDE IKASTOLA;IKAS-BIDE IKASTOLA;CEIP;HLHI;11S0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;PABLO GOROSABEL 1;20014;943467294;943457405;012366aa@hezkuntza.net;http://www.ikasbideikastola.hezkuntza.net/web/guest/inicio1;583280.916453965;4796093.54902843
012367;INTXAURRONDO IKASTOLA;INTXAURRONDO IKASTOLA;CEIP;HLHI;11S0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;P. DE ZARATEGI 48;20015;943285110;943297728;012367aa@hezkuntza.net; ;584664.486668399;4796664.302853139
012368;JAKINTZA IKASTOLA;JAKINTZA IKASTOLA;CEIP;HLHI;11S0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ESCOLTA REAL 12;20008;943217324;943218732;012368aa@hezkuntza.net; ;580970.851420271;4796049.587976575
012369;CLARET IKASTOLA;CLARET IKASTOLA;CPEIPS;HLBHIP;31H0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;33;PRIVADA;PRIBATUA;AV. DE NAVARRA 1;20013;943327133;943291078;idazkaritza@claretikastola.eus; ;583407.407705466;4797569.188666249
012370;STO. TOMÁS LIZEOA;STO. TOMÁS LIZEOA;CPEIPS;HLBHIP;31H0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;32;PRIVADA;PRIBATUA;MANUEL LARDIZABAL 24 (IBAETA);20018;943216044;943212361;zuzendaria@stomas.eu; ;580056.807825898;4795034.104675264
012371;STA. MARÍA-ORIXE IKASTOLA;STA. MARÍA-ORIXE IKASTOLA;CEIP;HLHI;11S0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;SAN VICENTE 2;20003;943425114;943441810;012371aa@hezkuntza.net; ;582416.628284074;4797384.546249679
012372;ZURRIOLA IKASTOLA;ZURRIOLA IKASTOLA;CPEIPS;HLBHIP;31H0;069;DONOSTIA / SAN SEBASTIÁN;DONOSTIA / SAN SEBASTIÁN;GIPUZKOA;GIPUZKOA;32;PRIVADA;PRIBATUA;INDIANOENE 1;20013;943272587;943320062;zurriola@ikastola.net; ;583798.12879159;4797331.996945938
012375;USABALGO LASKORAIN IKASTOLA;USABALGO LASKORAIN IKASTOLA;CPEIPS;HLBHIP;31H0;071;TOLOSA;TOLOSA;GIPUZKOA;GIPUZKOA;32;PRIVADA;PRIBATUA;USABAL 26;20400;943697122;943675423;laskorain@ikastola.net; ;574517.983507954;4775607.318941318
